business_id,centrality,business_name,avg_sentiment,sentiment_std,review_count,avg_rating,influence_score
KWx3SvW16hfSiFOAd4WzTA,0.059356923719338095,1915 Lanzhou Hand Pulled Noodles,0.92104,0.10684747540302485,5,5.0,0.11402702474179725
B2R7gy6mvvNjrm7UzzX-Gw,0.05426655886485144,Bstro 38,0.9389,0.047047476021567856,5,4.2,0.10521743098306045
WJS06XxRdc6DD1s4LWE9HA,0.045451917611505854,Fish Cheeks,0.96716,0.028898148729633186,5,4.8,0.08941119424864986
e5wK3I_THzF4Ce_OgoSCQw,0.04335569363109671,Mokyo,0.9427199999999999,0.043296501013361306,5,4.4,0.0842279731310042
EDucGBSfQ0YIbxdHS-KnCg,0.038502056922748,Sagaponack,0.95588,0.05781355377417995,5,4.8,0.07530540309406436
b8BXDiDoxC6my2eUdf9Y2A,0.033064341786431764,Harlemite Peruvian Cuisine,0.96302,0.02171213946160075,5,4.6,0.06490596421360129
m4lJL1hpJCkfB_fXsj8iQQ,0.03853724230809075,The Rogue Panda,0.59346,0.4119551468303315,5,3.0,0.061407554128250275
72FarxYcWbvPfHC5IitJKg,0.031009405302501482,Lingo,0.8333999999999999,0.20363930121663648,5,4.2,0.05685264368160622
CqtT8rPaSmrRClUBbqsCFA,0.027153726194713592,Seamore’s Dumbo,0.97338,0.022711825113803635,5,4.8,0.05358462019812391
YNROFa4J25EujA2g6hl9mw,0.024133356166378583,Sea Salt,0.97552,0.01603408868629589,5,5.0,0.047675927773804215
_G5JMPOkU6IG1OKbhw3gXA,0.02394952913057448,Peaches Prime,0.9445,0.028461201661208902,5,4.4,0.04656985939440208
MGKoqfOinZbW3NkV2fYhIA,0.022231784843338903,Sally’s,0.96946,0.02335343657794289,5,5.0,0.043784610977562234
wBwTAHhfSm5hpJU-InCUdw,0.019527607997513727,Red Onion,0.9771000000000001,0.02508615155818041,5,4.8,0.03860803377188439
4npQPrRezdLIkKWMdXpjFA,0.01926219243417856,The Monkey King,0.9671200000000001,0.024718151225364766,5,4.6,0.03789104398112132
OwV-MtDBC2H08rVcBqP2mA,0.019475810628820055,Pio Pio 8,0.9392799999999999,0.04846052001371839,5,4.8,0.037769050036258155
VELe-mC3h7jF5rUsjhuYYQ,0.01898533852473742,Marsanne,0.98184,0.011763205345483018,5,5.0,0.03762590330186561
spCP3O3Z_FFNA4ORE3qISw,0.01963284449829034,Swoony's,0.91124,0.0995645167717897,5,4.8,0.03752307771891243
HodL0fXoF08C3Ir-kLeTtw,0.018291099522305305,Forma Pasta Factory,0.9765,0.020578508206378854,5,5.0,0.03615235820583644
egDEaHpDumYHzRUZ8JBU-w,0.0182429566382997,Pranakhon Thai Restaurant,0.9496600000000001,0.043037460426935,5,4.6,0.03556756283942739
9I8mZXCkGZBmFh5fYOYorw,0.017884687031192902,Em Vietnamese Bistro,0.95204,0.0717313599480729,5,5.0,0.03491162447236979
xxiV3-0t_gO1Ojo3xo73TQ,0.01671579160660513,Vineapple,0.8805999999999999,0.21701384748444047,5,4.4,0.03143571769538161
Sp-vnk-waTvKblG_88M4TA,0.01664773162192969,Trapizzino,0.8317399999999999,0.11222585709184851,5,4.4,0.03049431592115349
4DInnPhOyvXFbYpUdO0SMQ,0.015444140529484599,Antidote,0.9672599999999999,0.02290868830815067,5,4.8,0.030382639898033872
446l_JghlLeekhd7_blMag,0.015411413668319033,Eyval,0.96118,0.0389888702067654,5,5.0,0.030224556258033924
h0pRCiJDrCN7tm3VX5tILQ,0.015444140529484599,CHILI,0.93786,0.09206559074920444,5,4.4,0.029928582166467026
UDsvp_twMrRa9j6lnZNjow,0.01601306700083714,Nobody Told Me,0.8682000000000001,0.2197406880848424,5,4.0,0.029915611770963944
zIL78ktI7UMoOw8vHYtK2g,0.014960002792882529,Little Maven,0.94648,0.03192909331628442,5,4.6,0.029119346236289985
vNThH1YBC0OjgzEx_AJvMw,0.014919110386186136,El Pingüino,0.9392799999999999,0.04685842506956461,5,4.8,0.028932332389723047
Lk3i0mZvzBBYts6BMOozDw,0.014451412150454972,Aragvi,0.9212199999999999,0.07814129510060609,5,5.0,0.0277643420516971
yGFQFm3O9vCsKTVpvmDuGg,0.013932754402804936,Dinner Party,0.95576,0.04527640665953956,5,4.8,0.027249123750829784
LkV96_buOU_n0br4SBO57w,0.013318239075731162,Ci Siamo,0.9507999999999999,0.05125002439023812,5,4.8,0.02598122078893635
E9NMNWvV70HV5gB369N0EA,0.013164079653562087,Nerai,0.92512,0.04434655567234056,5,5.0,0.025342433022665447
MaoCNdHni6MLjM9iYQqHcg,0.013300219991918364,Frida Midtown,0.90136,0.08572760932161819,5,4.8,0.0252885062838339
ZFaIpks0AmQKdFvqYbj0QQ,0.013318239075731162,Barbalu - Brooklyn,0.8628199999999999,0.15707366743028575,5,4.6,0.024809482115053523
hSpZSqElyjHTfE4lQJ97Cg,0.01671579160660513,Mareluna,0.43317999999999995,0.8422923138673415,5,3.6,0.02395673821475434
6Ct7OeTRn4caY9g0swFBsw,0.012215794983997183,La Contenta Les,0.9400000000000001,0.046122662542398836,5,4.8,0.023698642268954535
3eBV6HwWcdHzJW3sUH-2hw,0.011792539402111356,ICHIRAN - Times Square,0.9654,0.02882498915871436,5,5.0,0.02317705694090966
mnXrPqOVbX_06D9OAo4dLA,0.014485993119336214,Atti,0.59598,0.8471102803059352,5,4.6,0.02311935529859821
0CjK3esfpFcxIopebzjFxA,0.01175188728394389,Joe's Shanghai,0.9256,0.06030319228697602,5,3.8,0.022629434153962354
yJF0VCK0ctftWqSmG93DZA,0.011526717862479881,Alessa Cucina & Bar,0.95594,0.07083638189518152,5,5.0,0.0225455685359389
RrNe_0PReWHXAnjTEXBikQ,0.01276260732786488,Luke's Lobster Brooklyn Bridge Park,0.7471,0.3689717875393727,5,4.6,0.022297551262512733
RjXFwonRyu20O2WW9YBKfw,0.01124298963226455,Çka Ka Qëllu - Manhattan,0.9643200000000001,0.03770287787424188,5,4.6,0.0220848293944499
DGhWO1sUWydVeR5j5ZZaMw,0.01115740702187963,La Grande Boucherie,0.9499600000000001,0.04256339977022512,5,4.2,0.021756497396384404
CIzl1SAhtNUGEkLgvTB9zQ,0.011526717862479881,Rosemary's -  Midtown,0.7828999999999999,0.23912213406541857,5,4.2,0.02055098527701538
VpEy7E9fij06n7BRrzvEaw,0.010308385009316128,Le Crocodile,0.9417,0.05926141240301319,5,4.4,0.020015791172589125
0IwdwNnbro5RLLIlaxyfpQ,0.009873357217852343,The Wilson,0.96594,0.03284551719793741,5,5.0,0.019410427888864636
bEloKDe-QVkwakAwmFKbbA,0.009859890742713942,Frying Pan NYC,0.9656399999999999,0.03321683308203842,5,4.6,0.019380995639508233
O1fUmxt3kbV-rnyjBtzAfw,0.009972232314135117,THEP Thai Restaurant,0.93788,0.047441722144121165,5,5.0,0.01932498955691616
6YehBdKHcLDsvaewhcEjFQ,0.009789702683103698,Hey Yuet,0.97208,0.013768696379832045,5,5.0,0.01930607686729514
YPFME0go5UzDo7_q3NN2Mg,0.009789702683103696,Berimbau Brazilian Kitchen - West Village,0.96472,0.03901476643528704,5,4.4,0.019234024655547494
CKDJ5EnccjRvvVF3csTn6Q,0.009789702683103698,Balaboosta,0.9622999999999999,0.046844583464900176,5,4.4,0.019210333575054386
Er9SlDRdxit2qVHwfg-lsw,0.009789702683103701,Tatiana By Kwame Onwuachi,0.96168,0.034976806600946264,5,4.4,0.019204263959390868
Q-zg3X3OQ0gNABmwlgiczw,0.009265669357925214,The Naked Pig,0.97896,0.014053931834187919,5,4.8,0.018336389032559682
J3NT61-AH5d5Gu5tFJhYSw,0.009265669357925214,The Cabin NYC,0.9642200000000001,0.027727729802491954,5,4.6,0.018199813066223865
SaYTVG7wHCMDBofHCgXPaA,0.009265669357925214,Dutch Freds,0.96294,0.04314195174073606,5,4.8,0.018187953009445722
Me4TxTbPPQZQopW1wOGx5g,0.009245503902055644,Jack's Wife Freda,0.9558199999999999,0.05360127796983946,5,4.8,0.018082541441718468
xKIv_b2L2pUHmsoJ-xOepg,0.011526717862479881,Gran Morsi,0.56102,0.8024903220600234,5,4.4,0.017993437117688346
wohLfhl0OqvDzIX50r63aw,0.009265669357925214,Dolly Varden,0.9389,0.06561265121910563,5,4.6,0.017965206318081198
rp8S7scxOkVVeG7dNneMGQ,0.00897416624759142,L'Artusi,0.92548,0.07321452724698832,5,5.0,0.017279577626412326
9fG8-RRh1rzuCKN2TmF-QQ,0.008732345595516855,5ive Spice,0.90014,0.14647207242338045,5,5.0,0.016592679159865398
iexl39DYyy_76Xq3ExaJkQ,0.008329309338651919,Excuse My French,0.94314,0.05555427976312894,5,5.0,0.01618501414830809
IOHaEgK1zDvUvB3SfKuGCw,0.009873357217852343,Parker & Quinn,0.60494,0.7915590363327298,5,4.0,0.01584614593321994
0dDCDQz7DrKkSvu9h2hcQw,0.00810675731055098,Chow House 德悦轩,0.9147000000000001,0.07492152561180263,5,5.0,0.015522008222511962
sSc2jEs49x0LnjM-JxdByA,0.007933472747516676,The Little Pig,0.89236,0.15691081224695766,5,4.6,0.015012986488490657
AIrNQUhEfFIWlRxfoPDZng,0.007939363964076653,Rana Fifteen,0.87442,0.1710220950637666,5,3.8,0.01488170260154456
goKn7tKTIqpNPM_jR2yRCg,0.007484402664400618,Leyla,0.97202,0.016173960553927415,5,4.6,0.014759391742251307
16ZnHpuaaBt92XWeJHCC5A,0.00897416624759142,Olio e Più,0.6203000000000001,0.7266549628262371,5,4.0,0.01454084157097238
k8YJDry6_pbPIiCPeK-6mQ,0.009771702543112432,Mikado,0.48632,0.814465767850313,5,4.2,0.01452387692387887
mT3xxwCwCxLqqnGjZLH4UQ,0.00718049962898727,Travelers Poets & Friends,0.96248,0.015747444237081763,5,4.8,0.014091586911894938
pZWhRtCJvTuwWoavaiCQrA,0.007175796996341133,C as in Charlie,0.9606999999999999,0.036822004290912785,5,5.0,0.014069585170726059
ryvBsB9FrBBZDak87iGS1w,0.00693598324579971,Sea Fire Grill,0.9587,0.05138652547117777,5,4.0,0.013585510383547892
2LIH5ipzCCtVx_myIkZrtQ,0.00645977228440978,Mezze on the River,0.97956,0.010728606619687397,5,4.6,0.012787506823326225
xMUZfoyzyJoTfZxrEZus4Q,0.006407733523396641,Mom's Kitchen & Bar,0.96,0.031647353759832735,5,4.4,0.012559157705857416
